episode_name_number,episode,imdb_rating,season,season_ep_name
S1.E1 ∙ Death Has a Shadow,1,7.6,1,S1.E1: Death Has a Shadow
S1.E2 ∙ I Never Met the Dead Man,2,7.5,1,S1.E2: I Never Met the Dead Man
S1.E3 ∙ Chitty Chitty Death Bang,3,7.5,1,S1.E3: Chitty Chitty Death Bang
S1.E4 ∙ Mind Over Murder,4,7.4,1,S1.E4: Mind Over Murder
S1.E5 ∙ A Hero Sits Next Door,5,7.4,1,S1.E5: A Hero Sits Next Door
S1.E6 ∙ The Son Also Draws,6,7.1,1,S1.E6: The Son Also Draws
S1.E7 ∙ Brian: Portrait of a Dog,7,7.4,1,S1.E7: Brian: Portrait of a Dog
"S2.E1 ∙ Peter, Peter, Caviar Eater",1,7.5,2,"S2.E1: Peter, Peter, Caviar Eater"
S2.E2 ∙ Holy Crap,2,7.3,2,S2.E2: Holy Crap
S2.E3 ∙ Da Boom,3,8.1,2,S2.E3: Da Boom
S2.E4 ∙ Brian in Love,4,7.4,2,S2.E4: Brian in Love
S2.E5 ∙ Love Thy Trophy,5,7.7,2,S2.E5: Love Thy Trophy
S2.E6 ∙ Death Is a Bitch,6,8.2,2,S2.E6: Death Is a Bitch
S2.E7 ∙ The King Is Dead,7,7.2,2,S2.E7: The King Is Dead
"S2.E8 ∙ I Am Peter, Hear Me Roar",8,8,2,"S2.E8: I Am Peter, Hear Me Roar"
"S2.E9 ∙ If I'm Dyin', I'm Lyin'",9,7.3,2,"S2.E9: If I'm Dyin', I'm Lyin'"
S2.E10 ∙ Running Mates,10,7.4,2,S2.E10: Running Mates
"S2.E11 ∙ A Picture Is Worth 1,000 Bucks",11,7.1,2,"S2.E11: A Picture Is Worth 1,000 Bucks"
S2.E12 ∙ Fifteen Minutes of Shame,12,7.5,2,S2.E12: Fifteen Minutes of Shame
S2.E13 ∙ Road to Rhode Island,13,8.1,2,S2.E13: Road to Rhode Island
S2.E14 ∙ Let's Go to the Hop,14,7.7,2,S2.E14: Let's Go to the Hop
S2.E15 ∙ Dammit Janet,15,7.4,2,S2.E15: Dammit Janet
S2.E16 ∙ There's Something About Paulie,16,6.9,2,S2.E16: There's Something About Paulie
S2.E17 ∙ He's Too Sexy for His Fat,17,7.7,2,S2.E17: He's Too Sexy for His Fat
S2.E18 ∙ E. Peterbus Unum,18,8.1,2,S2.E18: E. Peterbus Unum
S2.E19 ∙ The Story on Page One,19,7.3,2,S2.E19: The Story on Page One
S2.E20 ∙ Wasted Talent,20,8,2,S2.E20: Wasted Talent
"S2.E21 ∙ Fore, Father",21,7.2,2,"S2.E21: Fore, Father"
S3.E1 ∙ The Thin White Line,1,8,3,S3.E1: The Thin White Line
S3.E2 ∙ Brian Does Hollywood,2,7.6,3,S3.E2: Brian Does Hollywood
S3.E3 ∙ Mr. Griffin Goes to Washington,3,7.5,3,S3.E3: Mr. Griffin Goes to Washington
"S3.E4 ∙ One If by Clam, Two If by Sea",4,7.5,3,"S3.E4: One If by Clam, Two If by Sea"
S3.E5 ∙ And the Wiener Is...,5,7.6,3,S3.E5: And the Wiener Is...
S3.E6 ∙ Death Lives,6,8,3,S3.E6: Death Lives
S3.E7 ∙ Lethal Weapons,7,7.3,3,S3.E7: Lethal Weapons
S3.E8 ∙ The Kiss Seen Round the World,8,6.7,3,S3.E8: The Kiss Seen Round the World
S3.E9 ∙ Mr. Saturday Knight,9,7.3,3,S3.E9: Mr. Saturday Knight
S3.E10 ∙ A Fish Out of Water,10,7.1,3,S3.E10: A Fish Out of Water
