fips,county,state,period_end,redfin_median_sale,redfin_median_list,redfin_sale_yoy_pct,redfin_list_yoy_pct,redfin_dom,redfin_dom_yoy,redfin_inventory,redfin_inventory_yoy,redfin_new_listings,redfin_homes_sold,redfin_months_supply,redfin_sale_to_list,redfin_sold_above_list,redfin_price_drops,redfin_off_market_2wk
01069,"Houston County, AL",AL,2026-03-31,257000,269000,-0.007722007722,0.1213005419,48,-15,383,-0.01542416452,141,103,3.7,0.9711838453,0.1165048544,0.2663185379,0.3195266272
01071,"Jackson County, AL",AL,2026-03-31,257500,271995,0.03,0.07550415184,86,-7,167,0.05696202532,46,24,7,0.9570401347,0.04166666667,0.2335329341,0.2857142857
01073,"Jefferson County, AL",AL,2026-03-31,305000,294950,0.08928571429,0.09443413729,55,7,2824,0.03595011005,1070,721,3.9,0.9871027098,0.2357836338,0.2471671388,0.3926940639
01075,"Lamar County, AL",AL,2026-03-31,139900,116750,-0.4242798354,-0.7660320641,112,-92,12,1.4,2,3,4,0.9401433692,0,0.4166666667,0
01077,"Lauderdale County, AL",AL,2026-03-31,264900,285900,0.1669603524,0.2165957447,42,-27,337,0.1660899654,132,87,3.9,0.9593158869,0.1149425287,0.2997032641,0.3423423423
01079,"Lawrence County, AL",AL,2026-03-31,177000,270500,-0.303012404,0.2022222222,42,-29,78,0.2786885246,32,23,3.4,0.9643129144,0.1739130435,0.2179487179,0.2727272727
01081,"Lee County, AL",AL,2026-03-31,344500,386400,-0.04694455126,0.004442526599,36,-36,880,0.01149425287,413,231,3.8,0.9857646231,0.1861471861,0.1886363636,0.3333333333
01083,"Limestone County, AL",AL,2026-03-31,338698,379450,0.1028107677,0.1170150132,116,14,1000,0.1312217195,391,226,4.4,0.9897465883,0.1548672566,0.22,0.2365145228
01085,"Lowndes County, AL",AL,2026-03-31,230000,250000,NA,NA,224,NA,14,NA,5,1,14,0.9504171505,0,0.1428571429,0.8
01087,"Macon County, AL",AL,2026-03-31,124000,169900,-0.1474733585,-0.2917882451,55,-1,32,-0.2,9,4,8,0.9653297705,0,0.21875,0.3333333333
01089,"Madison County, AL",AL,2026-03-31,328824.5,355000,0.02761509807,0.04442483083,82,11,2268,0.01795332136,855,590,3.8,0.9850396695,0.1322033898,0.2191358025,0.3144266338
01091,"Marengo County, AL",AL,2026-03-31,195000,101700,-0.3217391304,-0.3438709677,134,37,13,-0.07142857143,6,5,2.6,0.935239663,0,0.3076923077,0.2
01093,"Marion County, AL",AL,2026-03-31,196500,235000,0.1558823529,0.6797712652,168,87,97,0.2597402597,25,12,8.1,0.9201723197,0,0.1958762887,0.1111111111
01095,"Marshall County, AL",AL,2026-03-31,255990,299900,-0.1017894737,0.03449465333,59,-37,516,0.3507853403,154,83,6.2,0.9716423607,0.156626506,0.226744186,0.2612612613
01097,"Mobile County, AL",AL,2026-03-31,239900,256000,0.0487431694,0.02440976391,53,5,1455,0.09563253012,642,409,3.6,0.9751670294,0.2371638142,0.295532646,0.3227513228
01099,"Monroe County, AL",AL,2026-03-31,173187.5,165500,-0.2470108696,0.1829878485,87,-206,24,0.2,10,8,3,0.9312706376,0.125,0.2916666667,0.2857142857
01101,"Montgomery County, AL",AL,2026-03-31,239500,245000,0.1139534884,0.02083333333,77,-5,1158,0.05177111717,399,206,5.6,0.9717152898,0.1553398058,0.1994818653,0.3266475645
01103,"Morgan County, AL",AL,2026-03-31,260000,259900,0.01960784314,-0.05456529647,71,-4,492,-0.01006036217,180,130,3.8,0.9732807395,0.1846153846,0.2520325203,0.2614379085
01107,"Pickens County, AL",AL,2026-03-31,100000,256000,-0.642793356,0.9624377156,54,-79,35,1.058823529,14,5,7,1.007861173,0.2,0.2285714286,0.4
01109,"Pike County, AL",AL,2026-03-31,175000,250000,-0.1304347826,-0.2753612686,79,-14,15,-0.4,9,5,3,0.9708080706,0,0.1333333333,0.1
01111,"Randolph County, AL",AL,2026-03-31,334500,365000,0.1861702128,0.2717792191,63,-49,97,0.2125,23,16,6.1,0.9649210132,0.125,0.3402061856,0.380952381
01115,"St. Clair County, AL",AL,2026-03-31,300872.5,299900,0.1112352496,0.03449465333,60,-16,431,-0.1076604555,152,122,3.5,0.9878666035,0.1475409836,0.2482598608,0.3759398496
01117,"Shelby County, AL",AL,2026-03-31,355900,379900,0.0315942029,0.04110715264,56,-8,1083,-0.03561887801,444,336,3.2,0.9902040149,0.181547619,0.2243767313,0.4380530973
01119,"Sumter County, AL",AL,2026-03-31,125000,127450,-0.213836478,-0.05592592593,72,60,13,0.625,2,2,6.5,0.9349717268,0,0.1538461538,0.2857142857
01121,"Talladega County, AL",AL,2026-03-31,199900,247450,0,0.0529787234,97,4,320,-0.1011235955,70,57,5.6,0.9651590175,0.2631578947,0.303125,0.2674418605
01123,"Tallapoosa County, AL",AL,2026-03-31,590000,494450,0.4268440145,-0.1759166667,70,-67,291,0.1064638783,94,35,8.3,0.9665326913,0.1428571429,0.2542955326,0.1940298507
01125,"Tuscaloosa County, AL",AL,2026-03-31,284000,304900,0.03272727273,0.02937204591,51,6,814,0.1611982882,377,263,3.1,0.9824294669,0.1406844106,0.2506142506,0.3344155844
01127,"Walker County, AL",AL,2026-03-31,215000,249950,0.03365384615,0.08699906499,50,-1,202,0,64,44,4.6,0.943480295,0.1818181818,0.2673267327,0.3157894737
01129,"Washington County, AL",AL,2026-03-31,100000,79500,-0.3865030675,-0.4381625442,175,136,8,-0.2727272727,2,1,8,0.9958572339,0,0.375,0.5
01133,"Winston County, AL",AL,2026-03-31,242000,650000,-0.5421002838,0.2094148293,130,-24,149,-0.006666666667,35,22,6.8,0.9362923669,0.09090909091,0.2483221477,0.15
02020,"Anchorage Borough, AK",AK,2026-03-31,410000,465500,0.01673899566,0.03455939549,13,-5,234,-0.2887537994,305,206,1.1,0.9983614557,0.3203883495,0.2008547009,0.6518987342
02090,"Fairbanks North Star Borough, AK",AK,2026-03-31,342450,370000,0.03804183086,0.04225352113,56,-12,153,-0.3928571429,117,62,2.5,0.9765604964,0.03225806452,0.1960784314,0.1095890411
02110,"Juneau Borough, AK",AK,2026-03-31,386450,490000,-0.2575408261,-0.02960400912,43,-56,42,-0.1063829787,36,2,21,0.9761061947,0,0.1904761905,0.5161290323
02122,"Kenai Peninsula Borough, AK",AK,2026-03-31,379900,432500,-0.04906132666,0.01764705882,28,-55,190,-0.1162790698,88,53,3.6,0.9745420857,0.2264150943,0.1842105263,0.4935064935
02130,"Ketchikan Gateway Borough, AK",AK,2026-03-31,489000,524000,0.4011461318,0.1936218679,60,-30,46,-0.1153846154,14,4,11.5,0.9739662624,0,0.1304347826,0.75
02150,"Kodiak Island Borough, AK",AK,2026-03-31,560000,320000,0.1313131313,-0.1741935484,139,96,9,-0.64,6,4,2.3,0.9432788349,0,0.1111111111,0.4
02170,"Matanuska-Susitna Borough, AK",AK,2026-03-31,435000,459000,0.07407407407,0.03869653768,46,9,336,-0.1362467866,225,119,2.8,0.9923470662,0.2857142857,0.2261904762,0.4306930693
02198,"Prince of Wales-Hyder Census Area, AK",AK,2026-03-31,90000,365000,-0.8181818182,0.1681869099,280,225,25,-0.1935483871,5,1,25,0.75,0,0.08,0
02220,"Sitka Borough, AK",AK,2026-03-31,354200,862000,-0.6367179487,-0.01485714286,17,1,16,0.7777777778,4,2,8,1.163678174,0.5,0.25,0.75
02240,"Southeast Fairbanks Census Area, AK",AK,2026-03-31,325000,360000,3.0625,0.2004001334,167,20,37,-0.05128205128,12,7,5.3,0.8571428571,0,0.08108108108,0
02275,"Wrangell Borough, AK",AK,2026-03-31,425000,420000,0.3076923077,0.2923076923,15,13,6,-0.4545454545,3,1,6,1,0,NA,0.6666666667
02290,"Yukon-Koyukuk Census Area, AK",AK,2026-03-31,161650,NA,NA,NA,193,NA,5,NA,NA,2,2.5,NA,0,0.2,0
04001,"Apache County, AZ",AZ,2026-03-31,421000,490000,-0.009411764706,-0.05587668593,77,-3,118,-0.06349206349,29,15,7.9,0.9361074147,0.06666666667,0.1610169492,0.07692307692
04003,"Cochise County, AZ",AZ,2026-03-31,292500,296250,0.04464285714,0.03947368421,91,13,613,0.06239168111,194,148,4.1,0.9844853035,0.1081081081,0.2169657423,0.2731958763
04005,"Coconino County, AZ",AZ,2026-03-31,700000,720000,-0.02831827574,0.02857142857,72,14,553,0.07170542636,233,112,4.9,0.9760246033,0.1428571429,0.1952983725,0.3986486486
04007,"Gila County, AZ",AZ,2026-03-31,415125,495000,-0.1,-0.008016032064,81,36,338,-0.09383378016,115,65,5.2,0.9579011935,0.1538461538,0.2544378698,0.2179487179
04009,"Graham County, AZ",AZ,2026-03-31,372000,364000,0.2827586207,0.103030303,150,60,24,-0.5384615385,10,10,2.4,0.9812029458,0.2,0.25,0.1538461538
04012,"La Paz County, AZ",AZ,2026-03-31,211800,375000,0.02865468674,0.1538461538,32,-4,83,0.7291666667,21,3,27.7,0.9397598861,0.3333333333,0.2289156627,0.25
04013,"Maricopa County, AZ",AZ,2026-03-31,489990,514999,-0.01012121212,0.01577712032,56,1,21761,-0.03069042316,7732,6034,3.6,0.9790649606,0.1367252237,0.3513165755,0.2602900823
04015,"Mohave County, AZ",AZ,2026-03-31,350000,390000,-0.02777777778,0.06878596876,55,5,1514,0.03840877915,561,416,3.6,0.9778523593,0.1033653846,0.3051519155,0.2905811623
04017,"Navajo County, AZ",AZ,2026-03-31,419500,495000,0.03071253071,0.01226993865,88,48,626,0.2298624754,272,84,7.5,0.9590860087,0.08333333333,0.2172523962,0.3053435115
04019,"Pima County, AZ",AZ,2026-03-31,374000,375000,0.01081081081,-0.01055408971,75,4,5081,-0.04150160347,1620,1317,3.9,0.9785128401,0.1518602885,0.3251328479,0.2765060241
04021,"Pinal County, AZ",AZ,2026-03-31,389740,399900,0.01231168831,0.01381670681,80,6,3781,-0.06318136769,1202,1002,3.8,0.9844578755,0.1417165669,0.3784713039,0.1813186813
04023,"Santa Cruz County, AZ",AZ,2026-03-31,299500,297260,0.03275862069,-0.05631746032,91,14,317,0.06734006734,72,52,6.1,0.9771500857,0.1153846154,0.2397476341,0.2698412698
04025,"Yavapai County, AZ",AZ,2026-03-31,510000,554500,-0.09534368071,-0.03565217391,76,5,2067,0.13136289,706,442,4.7,0.9697232282,0.092760181,0.2873730044,0.2906137184
04027,"Yuma County, AZ",AZ,2026-03-31,310000,324950,0.03915258783,-0.03,79,8,760,-0.115250291,242,185,4.1,0.9882293826,0.227027027,0.1828947368,0.2634146341
05001,"Arkansas County, AR",AR,2026-03-31,149950,154750,0.7137142857,-0.2901376147,160,98,25,-0.1666666667,10,6,4.2,0.9527917933,0.3333333333,0.28,0.4285714286
05003,"Ashley County, AR",AR,2026-03-31,97500,99950,0.05405405405,-0.4101504869,115,19,29,-0.06451612903,7,9,3.2,0.8948694735,0,0.1724137931,0.1428571429
05005,"Baxter County, AR",AR,2026-03-31,252000,269900,0.08620689655,0.05843137255,130,56,285,0.003521126761,99,38,7.5,0.9762651006,0.07894736842,0.1754385965,0.4520547945
05007,"Benton County, AR",AR,2026-03-31,390000,429950,0.02631578947,0.06095003085,75,37,2187,0.3048926014,830,601,3.6,0.9837023588,0.1247920133,0.2679469593,0.3278236915
05009,"Boone County, AR",AR,2026-03-31,234000,229900,0.1011764706,0.09476190476,98,68,155,-0.1968911917,74,35,4.4,0.965834403,0.1428571429,0.2258064516,0.4814814815
05011,"Bradley County, AR",AR,2026-03-31,195000,215000,0.6560509554,0.6232540581,117,65,20,-0.3333333333,3,3,6.7,0.9335497835,0,0.25,0
05013,"Calhoun County, AR",AR,2026-03-31,86000,104900,NA,NA,465,NA,3,NA,1,1,3,0.7962962963,0,NA,0
05015,"Carroll County, AR",AR,2026-03-31,335000,362450,0.08766233766,0.06634304207,184,92,174,0.2794117647,54,28,6.2,0.9352837793,0.07142857143,0.2183908046,0.2
05017,"Chicot County, AR",AR,2026-03-31,34000,155000,-0.7841269841,-0.4745762712,194,133,8,-0.3846153846,3,1,8,0.68,0,0.25,0
05019,"Clark County, AR",AR,2026-03-31,224500,242500,0.2135135135,0.4349112426,125,-7,104,0.3333333333,26,18,5.8,0.9223622674,0.1111111111,0.2115384615,0.2173913043
05021,"Clay County, AR",AR,2026-03-31,123250,131750,0.3042328042,0.05865809562,73,-20,77,-0.1444444444,22,12,6.4,0.9372365123,0.25,0.2337662338,0.07692307692
05023,"Cleburne County, AR",AR,2026-03-31,310000,359000,0.1272727273,0,95,35,277,0.2648401826,69,27,10.3,0.9487979313,0.03703703704,0.1841155235,0.2093023256
05025,"Cleveland County, AR",AR,2026-03-31,129950,182500,-0.3797136038,-0.08704352176,144,25,18,0.125,4,2,9,0.9782608696,0,0.1666666667,0
05027,"Columbia County, AR",AR,2026-03-31,142450,200000,0.1534412955,0.01265822785,67,36,12,-0.2,4,4,3,0.8622290493,0,0.3333333333,0
05029,"Conway County, AR",AR,2026-03-31,192000,199900,0.3913043478,-0.2593553168,54,-19,67,0.3673469388,13,18,3.7,0.9417862075,0.1111111111,0.328358209,0.1666666667
05031,"Craighead County, AR",AR,2026-03-31,211250,248200,-0.04195011338,0.1544239741,75,-16,464,-0.2828438949,160,104,4.5,0.9718382889,0.1442307692,0.2090517241,0.08333333333
05033,"Crawford County, AR",AR,2026-03-31,243600,269000,0.16,0.09795918367,63,35,164,-0.01204819277,69,59,2.8,0.9796699542,0.1525423729,0.2743902439,0.2741935484
05035,"Crittenden County, AR",AR,2026-03-31,192450,239900,0.04027027027,-0.01072164948,84,49,137,0.0703125,50,40,3.4,0.9582036109,0.3,0.1824817518,0.2631578947
05037,"Cross County, AR",AR,2026-03-31,118500,199900,-0.3110465116,0.1488505747,27,-6,61,0.0701754386,19,4,15.3,0.9243332028,0,0.2459016393,0.3
05041,"Desha County, AR",AR,2026-03-31,157000,97000,2.204081633,0.07777777778,132,-24,17,-0.32,6,3,5.7,0.9532390511,0,0.1176470588,0
05043,"Drew County, AR",AR,2026-03-31,264500,265000,0.1755555556,0.1041666667,86,29,46,-0.1481481481,11,6,7.7,0.9336408376,0,0.1304347826,0.25
05045,"Faulkner County, AR",AR,2026-03-31,244000,287000,-0.01612903226,0.1038461538,68,14,447,-0.06485355649,181,150,3,0.9762372088,0.1266666667,0.2326621924,0.3676470588
05047,"Franklin County, AR",AR,2026-03-31,159000,207500,-0.1117318436,0.1534185659,93,-3,59,-0.06349206349,21,11,5.4,0.9790593708,0.1818181818,0.2372881356,0.4210526316
05049,"Fulton County, AR",AR,2026-03-31,234900,247500,0.2528,0.447791752,120,6,72,0,15,9,8,0.9505434369,0,0.25,0
05051,"Garland County, AR",AR,2026-03-31,240000,313200,-0.02040816327,0.04434811604,106,15,883,0.04744958482,261,153,5.8,0.9597531624,0.1176470588,0.2457531144,0.2736318408
05053,"Grant County, AR",AR,2026-03-31,165000,204500,-0.164556962,-0.1977245979,95,36,56,-0.06666666667,18,19,2.9,0.9976835726,0.3157894737,0.3214285714,0.125
05055,"Greene County, AR",AR,2026-03-31,193000,199900,0.07278841611,0.3335557038,49,-20,142,-0.2642487047,48,41,3.5,0.966065083,0.1463414634,0.2535211268,0.2
05057,"Hempstead County, AR",AR,2026-03-31,111950,62000,0.356969697,-0.07081303859,35,-32,25,0.1363636364,2,8,3.1,0.9808505241,0.125,0.2,0.2222222222
05059,"Hot Spring County, AR",AR,2026-03-31,169750,242499.5,-0.1065789474,0.1832129788,79,-32,105,0.0396039604,36,22,4.8,0.9727172252,0.1818181818,0.2761904762,0.3170731707
05061,"Howard County, AR",AR,2026-03-31,300000,260000,1.5,0.3684210526,78,-15,32,-0.1794871795,7,7,4.6,0.93286747,0.1428571429,0.15625,0
05063,"Independence County, AR",AR,2026-03-31,205000,224900,-0.02380952381,-0.06291666667,51,-47,109,0.009259259259,33,34,3.2,0.9676465413,0.1470588235,0.2660550459,0.1428571429
05065,"Izard County, AR",AR,2026-03-31,149000,152450,0.1825396825,-0.5862396526,82,0,122,0.2842105263,32,21,5.8,0.9344684204,0,0.1885245902,0.2173913043
05067,"Jackson County, AR",AR,2026-03-31,128500,77450,0.3817204301,-0.3789093825,78,-18,35,0.3461538462,10,12,2.9,0.9150689758,0,0.2,0
05069,"Jefferson County, AR",AR,2026-03-31,109950,176500,-0.267,0.412,78,-18,242,0.1690821256,65,46,5.3,0.9439942507,0.1304347826,0.2355371901,0.3181818182
05071,"Johnson County, AR",AR,2026-03-31,175000,239900,-0.02777777778,0.003765690377,57,3,106,-0.1166666667,28,27,3.9,0.9639846099,0.2962962963,0.2452830189,0.1851851852
05073,"Lafayette County, AR",AR,2026-03-31,59900,274500,NA,NA,147,NA,5,NA,1,1,5,NA,0,NA,0
05075,"Lawrence County, AR",AR,2026-03-31,158750,137450,0.3340336134,0.1511725293,140,56,41,-0.1276595745,14,10,4.1,0.9146033688,0.2,0.3170731707,0
05079,"Lincoln County, AR",AR,2026-03-31,60000,61500,-0.5555555556,-0.5956607495,NA,NA,12,-0.3333333333,4,1,12,1,0,0.4166666667,0.5
05081,"Little River County, AR",AR,2026-03-31,107000,199000,3.297188755,0.7425569177,286,-198,14,0.4,7,2,7,1,0,0.2142857143,0
05083,"Logan County, AR",AR,2026-03-31,81000,184500,-0.4002221399,0.6772727273,82,46,89,0.7450980392,20,11,8.1,0.9430000931,0,0.2134831461,0.12
05085,"Lonoke County, AR",AR,2026-03-31,239900,270000,-0.02061645234,0.1136316766,69,0,348,-0.05691056911,109,112,3.1,0.9716860314,0.125,0.2988505747,0.2213740458
05087,"Madison County, AR",AR,2026-03-31,282900,291499.5,-0.1388127854,-0.1030784615,20,-77,55,0.1,16,15,3.7,0.97909347,0.2,0.2363636364,0.3888888889
05089,"Marion County, AR",AR,2026-03-31,190000,282000,0.07648725212,0.3492822967,128,53,119,0.2142857143,31,17,7,0.9616229061,0.1764705882,0.2100840336,0.2857142857
05091,"Miller County, AR",AR,2026-03-31,170000,209300,-0.15,-0.04863636364,147,62,143,0.3364485981,30,19,7.5,0.9761121303,0.1578947368,0.2237762238,0.0303030303
05093,"Mississippi County, AR",AR,2026-03-31,181250,190000,-0.02919121585,0.0863350486,91,51,102,0.0625,35,27,3.8,0.9520765793,0.2592592593,0.1960784314,0.0625
05095,"Monroe County, AR",AR,2026-03-31,55000,47450,-0.6666666667,-0.7566666667,1,-473,8,0.1428571429,2,1,8,1,0,0.375,0
05097,"Montgomery County, AR",AR,2026-03-31,215000,339450,-0.4515306122,0.5436562074,55,-53,48,0.1428571429,16,5,9.6,0.958015815,0,0.1875,0.6
05099,"Nevada County, AR",AR,2026-03-31,142500,NA,0.4467005076,NA,63,20,10,-0.375,NA,3,3.3,0.9563758389,0,0.2,0
05101,"Newton County, AR",AR,2026-03-31,220000,398000,-0.3230769231,0.2756410256,179,-73,53,-0.171875,15,7,7.6,0.9071506222,0.2857142857,0.1698113208,0.2857142857
05103,"Ouachita County, AR",AR,2026-03-31,120750,192400,-0.425,0.5392,35,-28,82,0.5185185185,22,12,6.8,0.8896278648,0,0.1341463415,0.3333333333
05105,"Perry County, AR",AR,2026-03-31,215000,315000,-0.1313131313,0.4383561644,155,39,33,0.1379310345,11,6,5.5,0.9649965472,0,0.2424242424,0.3571428571
05107,"Phillips County, AR",AR,2026-03-31,74625,199900,-0.3453947368,1.35177854,76,-100,31,-0.1621621622,7,2,15.5,1.007142857,0.5,0.1290322581,0
05109,"Pike County, AR",AR,2026-03-31,211500,292450,-0.03819918145,0.06384139687,132,-22,50,-0.07407407407,10,4,12.5,0.9586363636,0,0.22,0
05111,"Poinsett County, AR",AR,2026-03-31,197500,212450,0.411722659,0.4172781855,107,70,74,-0.2448979592,22,14,5.3,0.9443061513,0.07142857143,0.2432432432,0.07142857143
05113,"Polk County, AR",AR,2026-03-31,150000,270000,-0.2462292619,0.1489361702,238,108,136,0.1623931624,23,11,12.4,0.9111092322,0.09090909091,0.1691176471,0.2
05115,"Pope County, AR",AR,2026-03-31,220000,230000,-0.009009009009,0.09004739336,59,6,171,-0.2331838565,71,56,3.1,0.9659740734,0.125,0.2748538012,0.3552631579
05117,"Prairie County, AR",AR,2026-03-31,158000,165000,-0.5662272201,0.3530135301,211,73,9,-0.1,1,3,3,0.8956864203,0,0.4444444444,0
05119,"Pulaski County, AR",AR,2026-03-31,245000,269900,0.02170604058,0.1281086729,65,-9,1695,0.004146919431,602,419,4,0.9710806359,0.1408114558,0.2430678466,0.3552
05121,"Randolph County, AR",AR,2026-03-31,147500,189000,0.05357142857,-0.002375296912,136,-3,56,-0.1515151515,17,10,5.6,0.9519511201,0.2,0.2142857143,0.2857142857
05123,"St. Francis County, AR",AR,2026-03-31,125000,198000,-0.173553719,0.1061452514,111,10,28,0.12,13,6,4.7,0.9783392473,0,0.1785714286,0.6
05125,"Saline County, AR",AR,2026-03-31,302500,305900,0.1203703704,0.01966666667,79,11,655,-0.0353460972,293,179,3.7,0.9823131602,0.1340782123,0.227480916,0.3220973783
05127,"Scott County, AR",AR,2026-03-31,187000,209500,2.116666667,-0.06888888889,37,-10,20,-0.09090909091,5,9,2.2,0.9773394759,0.1111111111,0.25,NA
