episode_name_number,episode,imdb_rating,season,season_ep_name
S1.E1 ∙ Pilot,1,7.8,1,S1.E1: Pilot
S1.E2 ∙ The Night of the Comet,2,7.5,1,S1.E2: The Night of the Comet
S1.E3 ∙ Friday Night Bites,3,7.9,1,S1.E3: Friday Night Bites
S1.E4 ∙ Family Ties,4,7.9,1,S1.E4: Family Ties
S1.E5 ∙ You're Undead to Me,5,8.2,1,S1.E5: You're Undead to Me
S1.E6 ∙ Lost Girls,6,8.4,1,S1.E6: Lost Girls
S1.E7 ∙ Haunted,7,8.2,1,S1.E7: Haunted
S1.E8 ∙ 162 Candles,8,8.3,1,S1.E8: 162 Candles
S1.E9 ∙ History Repeating,9,8.1,1,S1.E9: History Repeating
S1.E10 ∙ The Turning Point,10,8.3,1,S1.E10: The Turning Point
S1.E11 ∙ Bloodlines,11,8.2,1,S1.E11: Bloodlines
S1.E12 ∙ Unpleasantville,12,8.1,1,S1.E12: Unpleasantville
S1.E13 ∙ Children of the Damned,13,8.3,1,S1.E13: Children of the Damned
S1.E14 ∙ Fool Me Once,14,8.6,1,S1.E14: Fool Me Once
S1.E15 ∙ A Few Good Men,15,8,1,S1.E15: A Few Good Men
S1.E16 ∙ There Goes the Neighborhood,16,7.9,1,S1.E16: There Goes the Neighborhood
S1.E17 ∙ Let the Right One In,17,8.6,1,S1.E17: Let the Right One In
S1.E18 ∙ Under Control,18,8.1,1,S1.E18: Under Control
S1.E19 ∙ Miss Mystic Falls,19,8.3,1,S1.E19: Miss Mystic Falls
S1.E20 ∙ Blood Brothers,20,8.2,1,S1.E20: Blood Brothers
S1.E21 ∙ Isobel,21,8.4,1,S1.E21: Isobel
S1.E22 ∙ Founder's Day,22,9.2,1,S1.E22: Founder's Day
S2.E1 ∙ The Return,1,8.9,2,S2.E1: The Return
S2.E2 ∙ Brave New World,2,8.4,2,S2.E2: Brave New World
S2.E3 ∙ Bad Moon Rising,3,8.3,2,S2.E3: Bad Moon Rising
S2.E4 ∙ Memory Lane,4,8.1,2,S2.E4: Memory Lane
S2.E5 ∙ Kill or Be Killed,5,8.6,2,S2.E5: Kill or Be Killed
S2.E6 ∙ Plan B,6,8.5,2,S2.E6: Plan B
S2.E7 ∙ Masquerade,7,9,2,S2.E7: Masquerade
S2.E8 ∙ Rose,8,8.8,2,S2.E8: Rose
S2.E9 ∙ Katerina,9,8.5,2,S2.E9: Katerina
S2.E10 ∙ The Sacrifice,10,8.3,2,S2.E10: The Sacrifice
S2.E11 ∙ By the Light of the Moon,11,8.5,2,S2.E11: By the Light of the Moon
S2.E12 ∙ The Descent,12,8.4,2,S2.E12: The Descent
S2.E13 ∙ Daddy Issues,13,8.1,2,S2.E13: Daddy Issues
S2.E14 ∙ Crying Wolf,14,8,2,S2.E14: Crying Wolf
S2.E15 ∙ The Dinner Party,15,8.3,2,S2.E15: The Dinner Party
S2.E16 ∙ The House Guest,16,8.5,2,S2.E16: The House Guest
S2.E17 ∙ Know Thy Enemy,17,8.3,2,S2.E17: Know Thy Enemy
S2.E18 ∙ The Last Dance,18,8.7,2,S2.E18: The Last Dance
