pattern,owner,label,notes
CHATGPT|OPENAI,c,software,Owner override.
\bALO\b,c,clothing,Owner override.
MAMMOTH,c,solo,Owner override.
SOLIDCORE,c,fitness,Owner override.
CLASSPASS,c,fitness,Owner override.
HIGHLINE,c,solo,Owner override.
CBVA,c,sports,Owner override.
PATH TAPP PAYGO,c,transit,Owner override.
MTA\*NYCT PAYGO,c,transit,Owner override.
UCLA PHYSICIANS,c,medical,Owner override.
ANNUAL MEMBERSHIP FEE,c,card_fee,Owner override.
ALASKA AIR 0272149283346,c,solo_flight,Owner override.
FUNICOLARE DI CAPRI SRL,c,transit,Owner override.
