city,state,metro,county,zhvi,zhvi_yoy_pct,zori,zori_yoy_pct,annual_rent,rent_to_price_pct,price_to_rent,gross_yield_pct,est_cap_rate_pct,tier,pop_2024,pop_growth_pct,county_pop_2024,county_pop_growth_pct,net_mig_rate_per1k,vacancy_rate_pct,rental_vacancy_pct,renter_pct,zhvi_date,zori_date
West Long Branch,NJ,"New York-Newark-Jersey City, NY-NJ-PA",Monmouth County,939889.0339110986,1.63,44500,NA,534000,4.735,1.8,56.82,36.93,Strong Buy,8604,0.26,647520,0.74,2.8,7.24,3.49,24.63,2026-02-28,2026-02-28
Cahokia,IL,"St. Louis, MO-IL",Saint Clair County,45635.69715331399,2.39,1377,NA,16524,3.017,2.8,36.21,23.54,Strong Buy,NA,NA,NA,NA,NA,NA,NA,NA,2026-02-28,2026-02-28
Westhampton Beach,NY,"New York-Newark-Jersey City, NY-NJ-PA",Suffolk County,1584363.564664615,5.68,47666.66666666667,NA,572000,3.009,2.8,36.1,23.47,Strong Buy,2238,1.87,1535909,0.9,2.22,11.64,3.67,18.09,2026-02-28,2026-02-28
Sagaponack,NY,"New York-Newark-Jersey City, NY-NJ-PA",Suffolk County,7526912.417954368,6.83,193750,NA,2325000,2.574,3.2,30.89,20.08,Strong Buy,744,1.5,1535909,0.9,2.22,11.64,3.67,18.09,2026-02-28,2026-02-28
Water Mill,NY,"New York-Newark-Jersey City, NY-NJ-PA",Suffolk County,4600764.19290333,6.41,117500,NA,1410000,2.554,3.3,30.65,19.92,Strong Buy,NA,NA,1535909,0.9,2.22,11.64,3.67,18.09,2026-02-28,2026-02-28
East Hampton,NY,"New York-Newark-Jersey City, NY-NJ-PA",Suffolk County,1999006.346176056,-2.61,44284.1860916861,11.63,531410.2331002331,2.215,3.8,26.58,17.28,Strong Buy,1556,3.73,1535909,0.9,2.22,11.64,3.67,18.09,2026-02-28,2026-02-28
Margate City,NJ,"Atlantic City-Hammonton, NJ",Atlantic County,1090233.5493382586,8.12,22833.333333333332,NA,274000,2.094,4,25.13,16.34,Strong Buy,5239,-1.09,279114,1.79,8.62,17.71,4.68,32.16,2026-02-28,2026-02-28
Homestead,PA,"Pittsburgh, PA",Allegheny County,78544.95922808938,-0.11,1433.3333333333333,NA,17200,1.825,4.6,21.9,14.23,Strong Buy,2852,-1.01,1231814,-1.43,2.72,9.6,6.37,35.07,2026-02-28,2026-02-28
Castle Point,MO,"St. Louis, MO-IL",Saint Louis County,78152.81218651382,2.2,1420,NA,17040,1.817,4.6,21.8,14.17,Strong Buy,NA,NA,NA,NA,NA,NA,NA,NA,2026-02-28,2026-02-28
Glasgow Village,MO,"St. Louis, MO-IL",Saint Louis County,80188.80981637772,-0.17,1450.0462962962963,5.03,17400.555555555555,1.808,4.6,21.7,14.1,Strong Buy,NA,NA,NA,NA,NA,NA,NA,NA,2026-02-28,2026-02-28
Bridgehampton,NY,"New York-Newark-Jersey City, NY-NJ-PA",Suffolk County,4556239.814277745,6.15,81706.23809523809,21.42,980474.857142857,1.793,4.6,21.52,13.99,Strong Buy,NA,NA,1535909,0.9,2.22,11.64,3.67,18.09,2026-02-28,2026-02-28
Detroit,MI,"Detroit-Warren-Dearborn, MI",Wayne County,74827.8316778491,-2.25,1317.546240773716,3.02,15810.55488928459,1.761,4.7,21.13,13.73,Strong Buy,645705,1.15,1771063,-1.04,3.75,12.9,4.58,35.52,2026-02-28,2026-02-28
Riverview,MO,"St. Louis, MO-IL",Saint Louis County,72474.97467269155,-2.82,1275,NA,15300,1.759,4.7,21.11,13.72,Strong Buy,2334,-2.51,NA,NA,NA,NA,NA,NA,2026-02-28,2026-02-28
Montauk,NY,"New York-Newark-Jersey City, NY-NJ-PA",Suffolk County,1958052.2671958725,3.14,33962.88888888888,NA,407554.6666666666,1.735,4.8,20.81,13.53,Strong Buy,NA,NA,1535909,0.9,2.22,11.64,3.67,18.09,2026-02-28,2026-02-28
